reviewId,Username,userImage,Review,Rating,Usefulness,reviewCreatedVersion,Date,Reply,Reply Date,
9580fc8b-6627-44e2-9d8e-90f83dd9c82f,Edadasula adi,https://play-lh.googleusercontent.com/a-/ALV-UjVeZo0a1dYmQZEtqECvcMBJt8M5EDUGF3FdrRqrc94ImAYxDPyI,Super,4,0,6.3.4,2024-10-24 14:44:55,,,6.3.4
2130968a-40b0-4665-b92f-d792761c9035,arpin unggul Mahendra,https://play-lh.googleusercontent.com/a-/ALV-UjVCXceLjshp0iTi6742e9_OG0ZSKux9ULeEcp2an608ufZn0UNt,Very helpful aps.. thanks,5,0,6.3.4,2024-10-24 9:16:19,,,6.3.4
b4738977-06ad-4a0e-a6be-a325edafee43,Emmanuel Jaravaza,https://play-lh.googleusercontent.com/a/ACg8ocJnamlQHBiDHXqWHxryMV8hGsoL4RQ3qRp9LLwjgJr0kHyqoA=mo,It's refuses to show image when l go to all option,3,0,6.3.4,2024-10-23 20:34:47,Please send an email to know your query in complete details,2024-10-24 15:38:22,6.3.4
9ff69720-c810-45ec-b68a-47845dc3c62c,Friends Bakery,https://play-lh.googleusercontent.com/a/ACg8ocKH5GwTLG7DgioPRG0GEKpXPXG55L5aZ28KhKgjvZxKb2wq4A=mo,Jason web print is error after update,1,0,6.3.4,2024-10-23 12:13:57,"Please install below app and let me know if it works for you
https://www.thermerapp.com/myfiles/temp/thermer.apk",2024-10-25 15:14:52,6.3.4
bc8e6a90-413e-41d3-98e8-0ca16d1574e5,Junie Casimero,https://play-lh.googleusercontent.com/a-/ALV-UjUQYKiXZPmios_IGrfzszboQ7T-OlrQypVSs5Wp5NkaKrsS5mvb,"For me 5 star because it's very easy to used my Bluetooth printer,❤️",5,0,6.3.4,2024-10-22 9:05:35,,,6.3.4
1d84d489-6d40-4b34-877b-2b09362db7cd,Mahmudin,https://play-lh.googleusercontent.com/a-/ALV-UjWjkogDkHcxLQZ1rNRRWh7tognhyJduoUBn2jzNFiy-UFdazuE,Mantrapsss,5,0,6.3.4,2024-10-22 6:15:10,,,6.3.4
6d6525d0-1363-4bd4-957b-efb675a8d2b6,Muhammd Abdullah,https://play-lh.googleusercontent.com/a-/ALV-UjUBKEPkuupR9CZDmceaoCFWdADVOdk8i33P80HJhO18Ztg_hCej,Really helpful and easy to use,5,0,6.3.4,2024-10-21 19:11:22,,,6.3.4
0adabfdd-a96f-4a02-8678-de84d82937d0,dimas satrio,https://play-lh.googleusercontent.com/a/ACg8ocKvJiWbwQmIEi1WvOkClLBGA2dgwr2-lFoesGf3CNJiEq03Rw=mo,good,5,0,6.3.4,2024-10-18 16:00:11,,,6.3.4
c1e8e98a-de98-4e99-ab9b-f755e9e394b6,Gerald J. Principaal,https://play-lh.googleusercontent.com/a-/ALV-UjVZMn42EoGO4NQyUTI09XfIXo9vd83lTRyfavCkjIz39D1es-VK,Amazing,5,0,6.3.3,2024-10-17 20:19:50,,,6.3.3
c541a6e2-a0a7-4fd3-9b99-0b3b17346ff2,Michael Kebede,https://play-lh.googleusercontent.com/a-/ALV-UjUQOmPKhuLHCGoxxQhhp_DY7vG0Mv8Jqhl8DKNE2Jq6GIFGLwcW,Excellent,5,0,6.3.3,2024-10-17 7:28:05,,,6.3.3
